level,id,parent,children,name,include,pnzRegional,path
district,zzzzzzzzzzzzzzzzzzzw,zzzzzzzzzzzzzzzzzzzw,,Hurunui,true,environment-canterbury-north-canterbury-opukepuke-constituency,regions/zzzzzzzzzzzzzzzzzzzw/districts/zzzzzzzzzzzzzzzzzzzw
ward,IxSxuB4yKBAIK06fieCk,zzzzzzzzzzzzzzzzzzzx,,Banks Peninsula Ward,true,,regions/zzzzzzzzzzzzzzzzzzzw/districts/zzzzzzzzzzzzzzzzzzzx/wards/IxSxuB4yKBAIK06fieCk
ward,zzzzzzzzzzzzzzzzzzzk,zzzzzzzzzzzzzzzzzzzx,,Burwood Ward,true,,regions/zzzzzzzzzzzzzzzzzzzw/districts/zzzzzzzzzzzzzzzzzzzx/wards/zzzzzzzzzzzzzzzzzzzk
ward,zzzzzzzzzzzzzzzzzzzl,zzzzzzzzzzzzzzzzzzzx,,Waimairi Ward,true,,regions/zzzzzzzzzzzzzzzzzzzw/districts/zzzzzzzzzzzzzzzzzzzx/wards/zzzzzzzzzzzzzzzzzzzl
ward,zzzzzzzzzzzzzzzzzzzm,zzzzzzzzzzzzzzzzzzzx,,Spreydon Ward,true,,regions/zzzzzzzzzzzzzzzzzzzw/districts/zzzzzzzzzzzzzzzzzzzx/wards/zzzzzzzzzzzzzzzzzzzm
ward,zzzzzzzzzzzzzzzzzzzn,zzzzzzzzzzzzzzzzzzzx,,Riccarton Ward,true,,regions/zzzzzzzzzzzzzzzzzzzw/districts/zzzzzzzzzzzzzzzzzzzx/wards/zzzzzzzzzzzzzzzzzzzn
ward,zzzzzzzzzzzzzzzzzzzo,zzzzzzzzzzzzzzzzzzzx,,Papanui Ward,true,,regions/zzzzzzzzzzzzzzzzzzzw/districts/zzzzzzzzzzzzzzzzzzzx/wards/zzzzzzzzzzzzzzzzzzzo
ward,zzzzzzzzzzzzzzzzzzzp,zzzzzzzzzzzzzzzzzzzx,,Linwood Ward,true,,regions/zzzzzzzzzzzzzzzzzzzw/districts/zzzzzzzzzzzzzzzzzzzx/wards/zzzzzzzzzzzzzzzzzzzp
ward,zzzzzzzzzzzzzzzzzzzq,zzzzzzzzzzzzzzzzzzzx,,Innes Ward,true,,regions/zzzzzzzzzzzzzzzzzzzw/districts/zzzzzzzzzzzzzzzzzzzx/wards/zzzzzzzzzzzzzzzzzzzq
ward,zzzzzzzzzzzzzzzzzzzr,zzzzzzzzzzzzzzzzzzzx,,Hornby Ward,true,,regions/zzzzzzzzzzzzzzzzzzzw/districts/zzzzzzzzzzzzzzzzzzzx/wards/zzzzzzzzzzzzzzzzzzzr
